file,is_test,severity,confidence,pattern,title,location,what_was_found
android\guava\src\com\google\common\base\CaseFormat.java,False,Medium,High,allocation-pressure,Allocation-heavy loop body,convert (line 141),"Loop at line 141 allocates new collections, builders, or mapping helpers during iteration."
android\guava\src\com\google\common\base\CaseFormat.java,False,Medium,High,repeated-work,Repeated setup or parsing inside loop,convert (line 141),"Loop at line 141 recreates parsers, formatters, mappers, regexes, or other setup-heavy objects."
android\guava\src\com\google\common\base\CharMatcher.java,False,Medium,High,allocation-pressure,Allocation-heavy loop body,CharMatcher (line 843),"Loop at line 843 allocates new collections, builders, or mapping helpers during iteration."
android\guava\src\com\google\common\base\CharMatcher.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,CharMatcher (line 793),"Loop at line 793 serializes, materializes, or expands payload-like objects during iteration."
android\guava\src\com\google\common\base\CharMatcher.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,CharMatcher (line 813),"Loop at line 813 serializes, materializes, or expands payload-like objects during iteration."
android\guava\src\com\google\common\base\CharMatcher.java,False,Medium,High,repeated-work,Repeated setup or parsing inside loop,CharMatcher (line 843),"Loop at line 843 recreates parsers, formatters, mappers, regexes, or other setup-heavy objects."
android\guava\src\com\google\common\base\internal\Finalizer.java,False,High,High,concurrency-misuse,Direct thread creation,line 90,Line 90 creates a thread directly.
android\guava\src\com\google\common\base\Optional.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 356,Loop at line 356 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\base\Predicates.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,apply (line 425),Loop at line 425 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\base\Predicates.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,apply (line 470),Loop at line 470 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\base\Splitter.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,line 556,"Loop at line 556 serializes, materializes, or expands payload-like objects during iteration."
android\guava\src\com\google\common\base\Strings.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Strings (line 272),Loop at line 272 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\base\Suppliers.java,False,High,High,concurrency-misuse,Direct thread creation,Suppliers (line 403),Line 403 creates a thread directly.
android\guava\src\com\google\common\cache\CacheBuilderSpec.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,parse (line 145),Loop at line 145 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\CacheBuilderSpec.java,False,Medium,High,repeated-work,Repeated setup or parsing inside loop,parse (line 145),"Loop at line 145 recreates parsers, formatters, mappers, regexes, or other setup-heavy objects."
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,clear (line 3124),Loop at line 3124 is nested at depth 5 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,clear (line 3125),Loop at line 3125 is nested at depth 6 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,containsValue (line 2684),Loop at line 2684 is nested at depth 5 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,containsValue (line 2685),Loop at line 2685 is nested at depth 6 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,containsValue (line 4072),Loop at line 4072 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,containsValue (line 4074),Loop at line 4074 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,containsValue (line 4079),Loop at line 4079 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,containsValue (line 4080),Loop at line 4080 is nested at depth 5 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,drainRecencyQueue (line 2495),Loop at line 2495 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,expand (line 2801),Loop at line 2801 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,expand (line 2830),Loop at line 2830 is nested at depth 6 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 2120,Loop at line 2120 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 2721,Loop at line 2721 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 2919,Loop at line 2919 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 2974,Loop at line 2974 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 305,Loop at line 305 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 3073,Loop at line 3073 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 313,Loop at line 313 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 3944,Loop at line 3944 is nested at depth 5 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,nextInTable (line 4262),Loop at line 4262 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,reclaimKey (line 3215),Loop at line 3215 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,reclaimValue (line 3251),Loop at line 3251 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,remove (line 3020),Loop at line 3020 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,removeEntry (line 3329),Loop at line 3329 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,replace (line 2858),Loop at line 2858 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Low,Medium,allocation-pressure,String concatenation in loop,line 3944,Loop at line 3944 builds strings through repeated concatenation.
android\guava\src\com\google\common\cache\Striped64.java,False,High,High,concurrency-misuse,Direct thread creation,line 134,Line 134 creates a thread directly.
android\guava\src\com\google\common\cache\Striped64.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,getUnsafe (line 305),Loop at line 305 is nested at depth 5 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\AbstractMultimap.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,containsValue (line 48),Loop at line 48 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\CartesianList.java,False,Medium,Medium,algorithmic-waste,List membership checks inside loop,contains (line 162),Loop at line 162 performs `.contains(...)` checks that may scan collections repeatedly.
android\guava\src\com\google\common\collect\CartesianList.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,contains (line 162),Loop at line 162 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\CartesianList.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,indexOf (line 81),Loop at line 81 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\CartesianList.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,lastIndexOf (line 103),Loop at line 103 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\CartesianList.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 56,Loop at line 56 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Collections2.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Collections2 (line 186),Loop at line 186 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Collections2.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Collections2 (line 200),Loop at line 200 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Collections2.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Collections2 (line 302),Loop at line 302 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Collections2.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Collections2 (line 437),Loop at line 437 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Collections2.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Collections2 (line 526),Loop at line 526 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Collections2.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Collections2 (line 541),Loop at line 541 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Collections2.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Collections2 (line 681),Loop at line 681 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Collections2.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Collections2 (line 692),Loop at line 692 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\ConcurrentHashMultiset.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,add (line 235),Loop at line 235 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\ConcurrentHashMultiset.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,add (line 245),Loop at line 245 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\ConcurrentHashMultiset.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,entryIterator (line 538),Loop at line 538 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\ConcurrentHashMultiset.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,remove (line 305),Loop at line 305 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\ConcurrentHashMultiset.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,removeExactly (line 346),Loop at line 346 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\ConcurrentHashMultiset.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,setCount (line 375),Loop at line 375 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\ConcurrentHashMultiset.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,setCount (line 389),Loop at line 389 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\ConcurrentHashMultiset.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,size (line 168),Loop at line 168 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\ConcurrentHashMultiset.java,False,Low,Medium,allocation-pressure,String concatenation in loop,add (line 235),Loop at line 235 builds strings through repeated concatenation.
android\guava\src\com\google\common\collect\ConcurrentHashMultiset.java,False,Low,Medium,allocation-pressure,String concatenation in loop,add (line 245),Loop at line 245 builds strings through repeated concatenation.
android\guava\src\com\google\common\collect\DenseImmutableTable.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 68,Loop at line 68 is nested at depth 2 and also performs repeated lookup or transformation work.
