file,is_test,severity,confidence,pattern,title,location,what_was_found
src\main\java\org\apache\commons\io\build\AbstractOrigin.java,False,Low,Medium,allocation-pressure,String concatenation in loop,line 465,Loop at line 465 builds strings through repeated concatenation.
src\main\java\org\apache\commons\io\build\AbstractOrigin.java,False,Low,Medium,allocation-pressure,String concatenation in loop,line 586,Loop at line 586 builds strings through repeated concatenation.
src\main\java\org\apache\commons\io\ByteOrderMark.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,equals (line 165),Loop at line 165 is nested at depth 2 and also performs repeated lookup or transformation work.
src\main\java\org\apache\commons\io\file\PathUtils.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 351,Loop at line 351 is nested at depth 2 and also performs repeated lookup or transformation work.
src\main\java\org\apache\commons\io\file\PathUtils.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,line 751,"Loop at line 751 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\apache\commons\io\FileCleaningTracker.java,False,High,Medium,chatty-io,Remote or service call inside loop,run (line 69),"Loop at line 69 contains calls that look like repository, client, network, or database access."
src\main\java\org\apache\commons\io\filefilter\AbstractFileFilter.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,append (line 103),Loop at line 103 is nested at depth 2 and also performs repeated lookup or transformation work.
src\main\java\org\apache\commons\io\FilenameUtils.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,isIPv6Address (line 1134),Loop at line 1134 is nested at depth 2 and also performs repeated lookup or transformation work.
src\main\java\org\apache\commons\io\FilenameUtils.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,splitOnTokens (line 1510),"Loop at line 1510 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\apache\commons\io\FileUtils.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 1372,Loop at line 1372 is nested at depth 2 and also performs repeated lookup or transformation work.
src\main\java\org\apache\commons\io\FileUtils.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,decodeUrl (line 1205),"Loop at line 1205 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\apache\commons\io\FileUtils.java,False,Low,Medium,allocation-pressure,String concatenation in loop,toFiles (line 3093),Loop at line 3093 builds strings through repeated concatenation.
src\main\java\org\apache\commons\io\input\CharSequenceInputStream.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 304,Loop at line 304 is nested at depth 2 and also performs repeated lookup or transformation work.
src\main\java\org\apache\commons\io\input\CharSequenceInputStream.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 330,Loop at line 330 is nested at depth 2 and also performs repeated lookup or transformation work.
src\main\java\org\apache\commons\io\input\CircularInputStream.java,False,Low,Medium,allocation-pressure,String concatenation in loop,validate (line 45),Loop at line 45 builds strings through repeated concatenation.
src\main\java\org\apache\commons\io\input\ClassLoaderObjectInputStream.java,False,High,Medium,chatty-io,Remote or service call inside loop,line 90,"Loop at line 90 contains calls that look like repository, client, network, or database access."
src\main\java\org\apache\commons\io\input\ReadAheadInputStream.java,False,High,High,concurrency-misuse,Direct thread creation,newDaemonThread (line 146),Line 146 creates a thread directly.
src\main\java\org\apache\commons\io\input\ReadAheadInputStream.java,False,Medium,High,concurrency-misuse,Executor created in application code path,line 62,Line 62 creates a new executor instance.
src\main\java\org\apache\commons\io\input\ReadAheadInputStream.java,False,Medium,High,concurrency-misuse,Executor created in application code path,newExecutorService (line 157),Line 157 creates a new executor instance.
src\main\java\org\apache\commons\io\input\ReadAheadInputStream.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 438,Loop at line 438 is nested at depth 5 and also performs repeated lookup or transformation work.
src\main\java\org\apache\commons\io\input\ReaderInputStream.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 419,Loop at line 419 is nested at depth 2 and also performs repeated lookup or transformation work.
src\main\java\org\apache\commons\io\input\ReaderInputStream.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 461,Loop at line 461 is nested at depth 2 and also performs repeated lookup or transformation work.
src\main\java\org\apache\commons\io\input\ReversedLinesFileReader.java,False,Low,Medium,allocation-pressure,String concatenation in loop,readLine (line 222),Loop at line 222 builds strings through repeated concatenation.
src\main\java\org\apache\commons\io\input\Tailer.java,False,High,High,concurrency-misuse,Direct thread creation,line 106,Line 106 creates a thread directly.
src\main\java\org\apache\commons\io\input\Tailer.java,False,High,High,concurrency-misuse,Direct thread creation,newDaemonThread (line 177),Line 177 creates a thread directly.
src\main\java\org\apache\commons\io\input\Tailer.java,False,High,Medium,chatty-io,Remote or service call inside loop,run (line 1007),"Loop at line 1007 contains calls that look like repository, client, network, or database access."
