file,is_test,severity,confidence,pattern,title,location,what_was_found
log4j-1.2-api\src\main\java\org\apache\log4j\Category.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,getResourceBundle (line 459),Loop at line 459 is nested at depth 4 and also performs repeated lookup or transformation work.
log4j-1.2-api\src\main\java\org\apache\log4j\config\Log4j1ConfigurationParser.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,buildClassToPropertyPrefixMap (line 150),Loop at line 150 is nested at depth 2 and also performs repeated lookup or transformation work.
log4j-1.2-api\src\main\java\org\apache\log4j\config\Log4j1ConfigurationParser.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,buildLoggers (line 415),Loop at line 415 is nested at depth 2 and also performs repeated lookup or transformation work.
log4j-1.2-api\src\main\java\org\apache\log4j\config\Log4j1ConfigurationParser.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,buildClassToPropertyPrefixMap (line 150),"Loop at line 150 serializes, materializes, or expands payload-like objects during iteration."
log4j-1.2-api\src\main\java\org\apache\log4j\config\Log4j1ConfigurationParser.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,buildLoggers (line 415),"Loop at line 415 serializes, materializes, or expands payload-like objects during iteration."
log4j-1.2-api\src\main\java\org\apache\log4j\config\Log4j1ConfigurationParser.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,buildProperties (line 134),"Loop at line 134 serializes, materializes, or expands payload-like objects during iteration."
log4j-1.2-api\src\main\java\org\apache\log4j\config\Log4j1ConfigurationParser.java,False,Low,Medium,allocation-pressure,String concatenation in loop,buildLoggers (line 415),Loop at line 415 builds strings through repeated concatenation.
log4j-1.2-api\src\main\java\org\apache\log4j\config\PropertiesConfiguration.java,False,Medium,High,allocation-pressure,Allocation-heavy loop body,parseAppenderFilters (line 571),"Loop at line 571 allocates new collections, builders, or mapping helpers during iteration."
log4j-1.2-api\src\main\java\org\apache\log4j\config\PropertiesConfiguration.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,parseAppenderFilters (line 571),Loop at line 571 is nested at depth 2 and also performs repeated lookup or transformation work.
log4j-1.2-api\src\main\java\org\apache\log4j\config\PropertiesConfiguration.java,False,Medium,High,repeated-work,Repeated setup or parsing inside loop,parseAppenderFilters (line 571),"Loop at line 571 recreates parsers, formatters, mappers, regexes, or other setup-heavy objects."
log4j-1.2-api\src\main\java\org\apache\log4j\config\PropertiesConfiguration.java,False,Medium,High,repeated-work,Repeated setup or parsing inside loop,parseAppenderFilters (line 589),"Loop at line 589 recreates parsers, formatters, mappers, regexes, or other setup-heavy objects."
log4j-1.2-api\src\main\java\org\apache\log4j\config\PropertiesConfiguration.java,False,Low,High,chatty-io,Repeated logging inside loop,line 434,Loop at line 434 logs on the hot iteration path.
log4j-1.2-api\src\main\java\org\apache\log4j\config\PropertySetter.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,setProperties (line 105),Loop at line 105 is nested at depth 2 and also performs repeated lookup or transformation work.
log4j-1.2-api\src\main\java\org\apache\log4j\config\PropertySetter.java,False,Low,High,chatty-io,Repeated logging inside loop,setProperties (line 105),Loop at line 105 logs on the hot iteration path.
log4j-1.2-api\src\main\java\org\apache\log4j\helpers\OptionConverter.java,False,Medium,High,allocation-pressure,Allocation-heavy loop body,line 426,"Loop at line 426 allocates new collections, builders, or mapping helpers during iteration."
log4j-1.2-api\src\main\java\org\apache\log4j\helpers\OptionConverter.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 426,Loop at line 426 is nested at depth 2 and also performs repeated lookup or transformation work.
log4j-1.2-api\src\main\java\org\apache\log4j\helpers\OptionConverter.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,line 426,"Loop at line 426 serializes, materializes, or expands payload-like objects during iteration."
log4j-1.2-api\src\main\java\org\apache\log4j\helpers\OptionConverter.java,False,Medium,High,repeated-work,Repeated setup or parsing inside loop,line 426,"Loop at line 426 recreates parsers, formatters, mappers, regexes, or other setup-heavy objects."
log4j-1.2-api\src\main\java\org\apache\log4j\helpers\OptionConverter.java,False,Low,Medium,allocation-pressure,String concatenation in loop,line 426,Loop at line 426 builds strings through repeated concatenation.
log4j-1.2-api\src\main\java\org\apache\log4j\helpers\PatternParser.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,convert (line 421),Loop at line 421 is nested at depth 6 and also performs repeated lookup or transformation work.
log4j-1.2-api\src\main\java\org\apache\log4j\helpers\PatternParser.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,parse (line 126),"Loop at line 126 serializes, materializes, or expands payload-like objects during iteration."
log4j-1.2-api\src\main\java\org\apache\log4j\helpers\PatternParser.java,False,Low,Medium,allocation-pressure,String concatenation in loop,parse (line 126),Loop at line 126 builds strings through repeated concatenation.
log4j-1.2-api\src\main\java\org\apache\log4j\jmx\AbstractDynamicMBean.java,False,Low,Medium,allocation-pressure,String concatenation in loop,postRegister (line 114),Loop at line 114 builds strings through repeated concatenation.
log4j-1.2-api\src\main\java\org\apache\log4j\or\RendererMap.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,get (line 133),Loop at line 133 is nested at depth 2 and also performs repeated lookup or transformation work.
log4j-1.2-api\src\main\java\org\apache\log4j\or\RendererMap.java,False,Low,Medium,allocation-pressure,String concatenation in loop,get (line 133),Loop at line 133 builds strings through repeated concatenation.
log4j-1.2-api\src\main\java\org\apache\log4j\or\ThreadGroupRenderer.java,False,High,High,concurrency-misuse,Direct thread creation,doRender (line 35),Line 35 creates a thread directly.
log4j-1.2-api\src\main\java\org\apache\log4j\pattern\FormattingInfo.java,False,High,Medium,chatty-io,Remote or service call inside loop,format (line 92),"Loop at line 92 contains calls that look like repository, client, network, or database access."
log4j-1.2-api\src\main\java\org\apache\log4j\pattern\NameAbbreviator.java,False,High,Medium,chatty-io,Remote or service call inside loop,abbreviate (line 54),"Loop at line 54 contains calls that look like repository, client, network, or database access."
log4j-1.2-api\src\main\java\org\apache\log4j\pattern\NameAbbreviator.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,abbreviate (line 54),Loop at line 54 is nested at depth 3 and also performs repeated lookup or transformation work.
log4j-1.2-api\src\main\java\org\apache\log4j\pattern\NameAbbreviator.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,getAbbreviator (line 281),Loop at line 281 is nested at depth 3 and also performs repeated lookup or transformation work.
log4j-1.2-api\src\main\java\org\apache\log4j\PropertyConfigurator.java,False,High,Medium,chatty-io,Remote or service call inside loop,parseCatsAndRenderers (line 610),"Loop at line 610 contains calls that look like repository, client, network, or database access."
log4j-1.2-api\src\main\java\org\apache\log4j\PropertyConfigurator.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,SortedKeyEnumeration (line 101),Loop at line 101 is nested at depth 4 and also performs repeated lookup or transformation work.
log4j-1.2-api\src\main\java\org\apache\log4j\PropertyConfigurator.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,SortedKeyEnumeration (line 99),Loop at line 99 is nested at depth 3 and also performs repeated lookup or transformation work.
log4j-1.2-api\src\main\java\org\apache\log4j\PropertyConfigurator.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,parseAppenderFilters (line 489),Loop at line 489 is nested at depth 2 and also performs repeated lookup or transformation work.
log4j-1.2-api\src\main\java\org\apache\log4j\PropertyConfigurator.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,parseAppenderFilters (line 514),Loop at line 514 is nested at depth 2 and also performs repeated lookup or transformation work.
log4j-1.2-api\src\main\java\org\apache\log4j\PropertyConfigurator.java,False,Low,Medium,allocation-pressure,String concatenation in loop,line 588,Loop at line 588 builds strings through repeated concatenation.
log4j-1.2-api\src\main\java\org\apache\log4j\PropertyConfigurator.java,False,Low,Medium,allocation-pressure,String concatenation in loop,parseAppenderFilters (line 514),Loop at line 514 builds strings through repeated concatenation.
log4j-1.2-api\src\main\java\org\apache\log4j\rewrite\MapRewritePolicy.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,rewrite (line 69),"Loop at line 69 serializes, materializes, or expands payload-like objects during iteration."
log4j-1.2-api\src\main\java\org\apache\log4j\rewrite\PropertyRewritePolicy.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,PropertyRewritePolicy (line 60),"Loop at line 60 serializes, materializes, or expands payload-like objects during iteration."
log4j-1.2-api\src\main\java\org\apache\log4j\RollingFileAppender.java,False,Low,Medium,allocation-pressure,String concatenation in loop,rollOver (line 133),Loop at line 133 builds strings through repeated concatenation.
log4j-1.2-api\src\main\java\org\apache\log4j\spi\LocationInfo.java,False,Medium,High,allocation-pressure,Allocation-heavy loop body,LocationInfo (line 72),"Loop at line 72 allocates new collections, builders, or mapping helpers during iteration."
log4j-1.2-api\src\main\java\org\apache\log4j\spi\LocationInfo.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,LocationInfo (line 72),"Loop at line 72 serializes, materializes, or expands payload-like objects during iteration."
log4j-1.2-api\src\main\java\org\apache\log4j\spi\LocationInfo.java,False,Medium,High,repeated-work,Repeated setup or parsing inside loop,LocationInfo (line 72),"Loop at line 72 recreates parsers, formatters, mappers, regexes, or other setup-heavy objects."
log4j-1.2-api\src\main\java\org\apache\log4j\varia\FallbackErrorHandler.java,False,Low,Medium,allocation-pressure,String concatenation in loop,error (line 82),Loop at line 82 builds strings through repeated concatenation.
log4j-api\src\main\java\org\apache\logging\log4j\CloseableThreadContext.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,CloseableThreadContext (line 169),Loop at line 169 is nested at depth 3 and also performs repeated lookup or transformation work.
log4j-api\src\main\java\org\apache\logging\log4j\internal\map\UnmodifiableArrayBackedMap.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,copyAndRemoveAll (line 378),Loop at line 378 is nested at depth 2 and also performs repeated lookup or transformation work.
log4j-api\src\main\java\org\apache\logging\log4j\MarkerManager.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,addParents (line 155),Loop at line 155 is nested at depth 4 and also performs repeated lookup or transformation work.
