file,is_test,severity,confidence,pattern,title,location,what_was_found
android\guava\src\com\google\common\base\CaseFormat.java,False,Medium,High,allocation-pressure,Allocation-heavy loop body,convert (line 141),"Loop at line 141 allocates new collections, builders, or mapping helpers during iteration."
android\guava\src\com\google\common\base\CaseFormat.java,False,Medium,High,repeated-work,Repeated setup or parsing inside loop,convert (line 141),"Loop at line 141 recreates parsers, formatters, mappers, regexes, or other setup-heavy objects."
android\guava\src\com\google\common\base\CharMatcher.java,False,Medium,High,allocation-pressure,Allocation-heavy loop body,CharMatcher (line 843),"Loop at line 843 allocates new collections, builders, or mapping helpers during iteration."
android\guava\src\com\google\common\base\CharMatcher.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,CharMatcher (line 793),"Loop at line 793 serializes, materializes, or expands payload-like objects during iteration."
android\guava\src\com\google\common\base\CharMatcher.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,CharMatcher (line 813),"Loop at line 813 serializes, materializes, or expands payload-like objects during iteration."
android\guava\src\com\google\common\base\CharMatcher.java,False,Medium,High,repeated-work,Repeated setup or parsing inside loop,CharMatcher (line 843),"Loop at line 843 recreates parsers, formatters, mappers, regexes, or other setup-heavy objects."
android\guava\src\com\google\common\base\FinalizableReferenceQueue.java,False,High,Medium,chatty-io,Remote or service call inside loop,line 265,"Loop at line 265 contains calls that look like repository, client, network, or database access."
android\guava\src\com\google\common\base\internal\Finalizer.java,False,High,High,concurrency-misuse,Direct thread creation,line 90,Line 90 creates a thread directly.
android\guava\src\com\google\common\base\Optional.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 356,Loop at line 356 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\base\Predicates.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,apply (line 425),Loop at line 425 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\base\Predicates.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,apply (line 470),Loop at line 470 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\base\SmallCharMatcher.java,False,High,Medium,chatty-io,Remote or service call inside loop,chooseTableSize (line 80),"Loop at line 80 contains calls that look like repository, client, network, or database access."
android\guava\src\com\google\common\base\Splitter.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,line 556,"Loop at line 556 serializes, materializes, or expands payload-like objects during iteration."
android\guava\src\com\google\common\base\Strings.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Strings (line 272),Loop at line 272 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\base\Suppliers.java,False,High,High,concurrency-misuse,Direct thread creation,Suppliers (line 403),Line 403 creates a thread directly.
android\guava\src\com\google\common\cache\CacheBuilderSpec.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,parse (line 145),Loop at line 145 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\CacheBuilderSpec.java,False,Medium,High,repeated-work,Repeated setup or parsing inside loop,parse (line 145),"Loop at line 145 recreates parsers, formatters, mappers, regexes, or other setup-heavy objects."
android\guava\src\com\google\common\cache\LocalCache.java,False,High,Medium,chatty-io,Remote or service call inside loop,clear (line 3124),"Loop at line 3124 contains calls that look like repository, client, network, or database access."
android\guava\src\com\google\common\cache\LocalCache.java,False,High,Medium,chatty-io,Remote or service call inside loop,clear (line 3125),"Loop at line 3125 contains calls that look like repository, client, network, or database access."
android\guava\src\com\google\common\cache\LocalCache.java,False,High,Medium,chatty-io,Remote or service call inside loop,getAllPresent (line 3904),"Loop at line 3904 contains calls that look like repository, client, network, or database access."
android\guava\src\com\google\common\cache\LocalCache.java,False,High,Medium,chatty-io,Remote or service call inside loop,line 2120,"Loop at line 2120 contains calls that look like repository, client, network, or database access."
android\guava\src\com\google\common\cache\LocalCache.java,False,High,Medium,chatty-io,Remote or service call inside loop,line 2325,"Loop at line 2325 contains calls that look like repository, client, network, or database access."
android\guava\src\com\google\common\cache\LocalCache.java,False,High,Medium,chatty-io,Remote or service call inside loop,line 2974,"Loop at line 2974 contains calls that look like repository, client, network, or database access."
android\guava\src\com\google\common\cache\LocalCache.java,False,High,Medium,chatty-io,Remote or service call inside loop,line 3073,"Loop at line 3073 contains calls that look like repository, client, network, or database access."
android\guava\src\com\google\common\cache\LocalCache.java,False,High,Medium,chatty-io,Remote or service call inside loop,line 3927,"Loop at line 3927 contains calls that look like repository, client, network, or database access."
android\guava\src\com\google\common\cache\LocalCache.java,False,High,Medium,chatty-io,Remote or service call inside loop,line 3944,"Loop at line 3944 contains calls that look like repository, client, network, or database access."
android\guava\src\com\google\common\cache\LocalCache.java,False,High,Medium,chatty-io,Remote or service call inside loop,line 3953,"Loop at line 3953 contains calls that look like repository, client, network, or database access."
android\guava\src\com\google\common\cache\LocalCache.java,False,High,Medium,chatty-io,Remote or service call inside loop,longSize (line 3851),"Loop at line 3851 contains calls that look like repository, client, network, or database access."
android\guava\src\com\google\common\cache\LocalCache.java,False,High,Medium,chatty-io,Remote or service call inside loop,remove (line 3020),"Loop at line 3020 contains calls that look like repository, client, network, or database access."
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,clear (line 3124),Loop at line 3124 is nested at depth 5 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,clear (line 3125),Loop at line 3125 is nested at depth 6 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,containsValue (line 2684),Loop at line 2684 is nested at depth 5 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,containsValue (line 2685),Loop at line 2685 is nested at depth 6 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,containsValue (line 4072),Loop at line 4072 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,containsValue (line 4074),Loop at line 4074 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,containsValue (line 4079),Loop at line 4079 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,containsValue (line 4080),Loop at line 4080 is nested at depth 5 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,drainRecencyQueue (line 2495),Loop at line 2495 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,expand (line 2801),Loop at line 2801 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,expand (line 2830),Loop at line 2830 is nested at depth 6 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 2120,Loop at line 2120 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 2721,Loop at line 2721 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 2919,Loop at line 2919 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 2974,Loop at line 2974 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 305,Loop at line 305 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 3073,Loop at line 3073 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 313,Loop at line 313 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 3944,Loop at line 3944 is nested at depth 5 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,nextInTable (line 4262),Loop at line 4262 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,reclaimKey (line 3215),Loop at line 3215 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,reclaimValue (line 3251),Loop at line 3251 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,remove (line 3020),Loop at line 3020 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,removeEntry (line 3329),Loop at line 3329 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,replace (line 2858),Loop at line 2858 is nested at depth 4 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\cache\LocalCache.java,False,Low,Medium,allocation-pressure,String concatenation in loop,line 3944,Loop at line 3944 builds strings through repeated concatenation.
android\guava\src\com\google\common\cache\Striped64.java,False,High,High,concurrency-misuse,Direct thread creation,line 134,Line 134 creates a thread directly.
android\guava\src\com\google\common\cache\Striped64.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,getUnsafe (line 305),Loop at line 305 is nested at depth 5 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\AbstractMultimap.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,containsValue (line 48),Loop at line 48 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\CartesianList.java,False,Medium,Medium,algorithmic-waste,List membership checks inside loop,contains (line 162),Loop at line 162 performs `.contains(...)` checks that may scan collections repeatedly.
android\guava\src\com\google\common\collect\CartesianList.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,contains (line 162),Loop at line 162 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\CartesianList.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,indexOf (line 81),Loop at line 81 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\CartesianList.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,lastIndexOf (line 103),Loop at line 103 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\CartesianList.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 56,Loop at line 56 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Collections2.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Collections2 (line 186),Loop at line 186 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Collections2.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Collections2 (line 200),Loop at line 200 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Collections2.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Collections2 (line 302),Loop at line 302 is nested at depth 2 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Collections2.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Collections2 (line 437),Loop at line 437 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Collections2.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Collections2 (line 526),Loop at line 526 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Collections2.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Collections2 (line 541),Loop at line 541 is nested at depth 3 and also performs repeated lookup or transformation work.
android\guava\src\com\google\common\collect\Collections2.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,Collections2 (line 681),Loop at line 681 is nested at depth 2 and also performs repeated lookup or transformation work.
