file,is_test,severity,confidence,pattern,title,location,what_was_found
src\main\java\tools\jackson\core\Base64Variant.java,False,Low,Medium,allocation-pressure,String concatenation in loop,getName (line 696),Loop at line 696 builds strings through repeated concatenation.
src\main\java\tools\jackson\core\filter\FilteringParserDelegate.java,False,Low,Medium,allocation-pressure,String concatenation in loop,getFilter (line 288),Loop at line 288 builds strings through repeated concatenation.
src\main\java\tools\jackson\core\JacksonException.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,getLocation (line 553),"Loop at line 553 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\tools\jackson\core\json\ReaderBasedJsonParser.java,False,Low,Medium,allocation-pressure,String concatenation in loop,line 2932,Loop at line 2932 builds strings through repeated concatenation.
src\main\java\tools\jackson\core\json\ReaderBasedJsonParser.java,False,Low,Medium,allocation-pressure,String concatenation in loop,line 538,Loop at line 538 builds strings through repeated concatenation.
src\main\java\tools\jackson\core\json\UTF8DataInputJsonParser.java,False,Low,Medium,allocation-pressure,String concatenation in loop,_closeInput (line 454),Loop at line 454 builds strings through repeated concatenation.
src\main\java\tools\jackson\core\json\UTF8DataInputJsonParser.java,False,Low,Medium,allocation-pressure,String concatenation in loop,line 2435,Loop at line 2435 builds strings through repeated concatenation.
src\main\java\tools\jackson\core\json\UTF8DataInputJsonParser.java,False,Low,Medium,allocation-pressure,String concatenation in loop,line 3045,Loop at line 3045 builds strings through repeated concatenation.
src\main\java\tools\jackson\core\json\UTF8StreamJsonParser.java,False,Low,Medium,allocation-pressure,String concatenation in loop,line 3427,Loop at line 3427 builds strings through repeated concatenation.
src\main\java\tools\jackson\core\json\UTF8StreamJsonParser.java,False,Low,Medium,allocation-pressure,String concatenation in loop,line 4290,Loop at line 4290 builds strings through repeated concatenation.
src\main\java\tools\jackson\core\json\UTF8StreamJsonParser.java,False,Low,Medium,allocation-pressure,String concatenation in loop,line 568,Loop at line 568 builds strings through repeated concatenation.
src\main\java\tools\jackson\core\JsonGenerator.java,False,Low,Medium,allocation-pressure,String concatenation in loop,JsonGenerator (line 2155),Loop at line 2155 builds strings through repeated concatenation.
src\main\java\tools\jackson\core\JsonGenerator.java,False,Low,Medium,allocation-pressure,String concatenation in loop,JsonGenerator (line 2217),Loop at line 2217 builds strings through repeated concatenation.
src\main\java\tools\jackson\core\JsonPointer.java,False,Medium,High,allocation-pressure,Allocation-heavy loop body,valueOf (line 740),"Loop at line 740 allocates new collections, builders, or mapping helpers during iteration."
src\main\java\tools\jackson\core\JsonPointer.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,valueOf (line 863),Loop at line 863 is nested at depth 2 and also performs repeated lookup or transformation work.
src\main\java\tools\jackson\core\JsonPointer.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,valueOf (line 740),"Loop at line 740 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\tools\jackson\core\JsonPointer.java,False,Medium,High,repeated-work,Repeated setup or parsing inside loop,valueOf (line 740),"Loop at line 740 recreates parsers, formatters, mappers, regexes, or other setup-heavy objects."
src\main\java\tools\jackson\core\sym\SimpleNameMatcher.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 70,Loop at line 70 is nested at depth 2 and also performs repeated lookup or transformation work.
src\main\java\tools\jackson\core\util\JsonRecyclerPools.java,False,High,High,concurrency-misuse,Direct thread creation,line 105,Line 105 creates a thread directly.
src\main\java\tools\jackson\core\util\JsonRecyclerPools.java,False,High,High,concurrency-misuse,Direct thread creation,line 113,Line 113 creates a thread directly.
src\main\java\tools\jackson\core\util\TextBuffer.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,getCurrentSegmentSize (line 1205),Loop at line 1205 is nested at depth 3 and also performs repeated lookup or transformation work.
src\main\java\tools\jackson\core\util\TextBuffer.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 542,Loop at line 542 is nested at depth 7 and also performs repeated lookup or transformation work.
src\main\java\tools\jackson\core\util\TextBuffer.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 759,Loop at line 759 is nested at depth 3 and also performs repeated lookup or transformation work.
