file,is_test,severity,confidence,pattern,title,location,what_was_found
src\main\java\org\json\CDL.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,rowToString (line 181),Loop at line 181 is nested at depth 2 and also performs repeated lookup or transformation work.
src\main\java\org\json\CDL.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,line 306,"Loop at line 306 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\json\CDL.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,line 391,"Loop at line 391 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\json\CDL.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,rowToString (line 181),"Loop at line 181 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\json\CDL.java,False,Low,Medium,allocation-pressure,String concatenation in loop,line 102,Loop at line 102 builds strings through repeated concatenation.
src\main\java\org\json\CDL.java,False,Low,Medium,allocation-pressure,String concatenation in loop,line 114,Loop at line 114 builds strings through repeated concatenation.
src\main\java\org\json\CDL.java,False,Low,Medium,allocation-pressure,String concatenation in loop,line 56,Loop at line 56 builds strings through repeated concatenation.
src\main\java\org\json\Cookie.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,line 162,"Loop at line 162 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\json\CookieList.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,line 60,"Loop at line 60 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\json\HTTPTokener.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,line 38,"Loop at line 38 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\json\HTTPTokener.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,line 49,"Loop at line 49 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\json\JSONArray.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 1996,Loop at line 1996 is nested at depth 4 and also performs repeated lookup or transformation work.
src\main\java\org\json\JSONArray.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 2000,Loop at line 2000 is nested at depth 4 and also performs repeated lookup or transformation work.
src\main\java\org\json\JSONArray.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 621,Loop at line 621 is nested at depth 2 and also performs repeated lookup or transformation work.
src\main\java\org\json\JSONArray.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,similar (line 1635),Loop at line 1635 is nested at depth 2 and also performs repeated lookup or transformation work.
src\main\java\org\json\JSONML.java,False,Medium,High,allocation-pressure,Allocation-heavy loop body,line 109,"Loop at line 109 allocates new collections, builders, or mapping helpers during iteration."
src\main\java\org\json\JSONML.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 674,Loop at line 674 is nested at depth 3 and also performs repeated lookup or transformation work.
src\main\java\org\json\JSONML.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,line 109,"Loop at line 109 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\json\JSONML.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,line 570,"Loop at line 570 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\json\JSONML.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,line 650,"Loop at line 650 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\json\JSONML.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,line 674,"Loop at line 674 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\json\JSONML.java,False,Medium,High,repeated-work,Repeated setup or parsing inside loop,line 109,"Loop at line 109 recreates parsers, formatters, mappers, regexes, or other setup-heavy objects."
src\main\java\org\json\JSONML.java,False,Low,Medium,allocation-pressure,String concatenation in loop,line 109,Loop at line 109 builds strings through repeated concatenation.
src\main\java\org\json\JSONObject.java,False,Medium,High,allocation-pressure,Allocation-heavy loop body,line 555,"Loop at line 555 allocates new collections, builders, or mapping helpers during iteration."
src\main\java\org\json\JSONObject.java,False,Medium,High,allocation-pressure,Allocation-heavy loop body,line 566,"Loop at line 566 allocates new collections, builders, or mapping helpers during iteration."
src\main\java\org\json\JSONObject.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,line 223,"Loop at line 223 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\json\JSONObject.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,line 555,"Loop at line 555 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\json\JSONObject.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,line 566,"Loop at line 566 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\json\JSONObject.java,False,Medium,High,repeated-work,Repeated setup or parsing inside loop,line 555,"Loop at line 555 recreates parsers, formatters, mappers, regexes, or other setup-heavy objects."
src\main\java\org\json\JSONObject.java,False,Medium,High,repeated-work,Repeated setup or parsing inside loop,line 566,"Loop at line 566 recreates parsers, formatters, mappers, regexes, or other setup-heavy objects."
src\main\java\org\json\JSONTokener.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,getPrevious (line 434),Loop at line 434 is nested at depth 2 and also performs repeated lookup or transformation work.
src\main\java\org\json\JSONTokener.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,getPrevious (line 501),Loop at line 501 is nested at depth 3 and also performs repeated lookup or transformation work.
src\main\java\org\json\JSONTokener.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,getPrevious (line 345),"Loop at line 345 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\json\JSONTokener.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,getPrevious (line 410),"Loop at line 410 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\json\JSONTokener.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,getPrevious (line 434),"Loop at line 434 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\json\JSONTokener.java,False,Low,Medium,allocation-pressure,String concatenation in loop,getPrevious (line 345),Loop at line 345 builds strings through repeated concatenation.
src\main\java\org\json\Property.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,line 53,"Loop at line 53 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\json\XML.java,False,Medium,High,allocation-pressure,Allocation-heavy loop body,line 340,"Loop at line 340 allocates new collections, builders, or mapping helpers during iteration."
src\main\java\org\json\XML.java,False,Medium,High,allocation-pressure,Allocation-heavy loop body,line 415,"Loop at line 415 allocates new collections, builders, or mapping helpers during iteration."
src\main\java\org\json\XML.java,False,Medium,High,allocation-pressure,Allocation-heavy loop body,line 966,"Loop at line 966 allocates new collections, builders, or mapping helpers during iteration."
src\main\java\org\json\XML.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 340,Loop at line 340 is nested at depth 3 and also performs repeated lookup or transformation work.
src\main\java\org\json\XML.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,line 415,Loop at line 415 is nested at depth 5 and also performs repeated lookup or transformation work.
src\main\java\org\json\XML.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,removeEmpty (line 510),Loop at line 510 is nested at depth 4 and also performs repeated lookup or transformation work.
src\main\java\org\json\XML.java,False,Medium,Medium,algorithmic-waste,Nested loop with repeated lookup work,unescape (line 192),Loop at line 192 is nested at depth 2 and also performs repeated lookup or transformation work.
src\main\java\org\json\XML.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,line 340,"Loop at line 340 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\json\XML.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,line 415,"Loop at line 415 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\json\XML.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,line 966,"Loop at line 966 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\json\XML.java,False,Medium,Medium,data-movement-bloat,Payload construction inside loop,line 980,"Loop at line 980 serializes, materializes, or expands payload-like objects during iteration."
src\main\java\org\json\XML.java,False,Medium,High,repeated-work,Repeated setup or parsing inside loop,line 340,"Loop at line 340 recreates parsers, formatters, mappers, regexes, or other setup-heavy objects."
src\main\java\org\json\XML.java,False,Medium,High,repeated-work,Repeated setup or parsing inside loop,line 415,"Loop at line 415 recreates parsers, formatters, mappers, regexes, or other setup-heavy objects."
src\main\java\org\json\XML.java,False,Medium,High,repeated-work,Repeated setup or parsing inside loop,line 790,"Loop at line 790 recreates parsers, formatters, mappers, regexes, or other setup-heavy objects."
